model,strategy,algorithm,run,instance,cities,status,ran,length,optimum,gap_pct,runtime_s,reported_length,refinement_rounds,input_tokens,output_tokens,generation_error
claude,chain_of_thought,simulated_annealing,1,pr1002,1002,ok,True,277643.0,259045,7.18,2.422,277643.0,1.0,419.0,2214.0,
claude,chain_of_thought,genetic_algorithm,2,pr439,439,ok,True,137114.0,107217,27.88,27.889,137114.0,1.0,418.0,1713.0,
claude,chain_of_thought,genetic_algorithm,2,pr1002,1002,ok,True,337600.0,259045,30.32,107.003,337600.0,1.0,418.0,1713.0,
claude,chain_of_thought,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.121,131281.0,1.0,432.0,530.0,
claude,chain_of_thought,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.094,331103.0,1.0,432.0,530.0,
claude,chain_of_thought,simulated_annealing,2,pr439,439,ok,True,131281.0,107217,22.44,1.483,131281.0,1.0,419.0,1762.0,
claude,chain_of_thought,simulated_annealing,2,pr1002,1002,ok,True,331103.0,259045,27.82,2.065,331103.0,1.0,419.0,1762.0,
claude,chain_of_thought,genetic_algorithm,3,pr439,439,ok,True,130259.0,107217,21.49,13.209,130259.0,1.0,418.0,1810.0,
claude,chain_of_thought,genetic_algorithm,3,pr1002,1002,ok,True,316344.0,259045,22.12,25.35,316344.0,1.0,418.0,1810.0,
claude,chain_of_thought,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.107,131281.0,1.0,432.0,548.0,
claude,chain_of_thought,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.107,331103.0,1.0,432.0,548.0,
claude,chain_of_thought,simulated_annealing,3,pr439,439,ok,True,122765.0,107217,14.5,1.03,122765.0,1.0,419.0,2060.0,
claude,chain_of_thought,simulated_annealing,3,pr1002,1002,ok,True,275321.0,259045,6.28,33.828,275321.0,1.0,419.0,2060.0,
claude,few_shot,genetic_algorithm,1,pr439,439,ok,True,130821.0,107217,22.02,0.845,130821.0,1.0,528.0,1658.0,
claude,few_shot,genetic_algorithm,1,pr1002,1002,ok,True,318595.0,259045,22.99,2.249,318595.0,1.0,528.0,1658.0,
claude,few_shot,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.099,131281.0,1.0,542.0,319.0,
claude,few_shot,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.087,331103.0,1.0,542.0,319.0,
claude,few_shot,simulated_annealing,1,pr439,439,ok,True,121077.0,107217,12.93,0.825,121077.0,1.0,529.0,1437.0,
claude,few_shot,simulated_annealing,1,pr1002,1002,ok,True,281912.0,259045,8.83,2.994,281912.0,1.0,529.0,1437.0,
claude,few_shot,genetic_algorithm,2,pr439,439,ok,True,130237.0,107217,21.47,8.879,130237.0,1.0,528.0,1268.0,
claude,few_shot,genetic_algorithm,2,pr1002,1002,ok,True,313694.0,259045,21.1,19.107,313694.0,1.0,528.0,1268.0,
claude,few_shot,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.129,131281.0,1.0,542.0,293.0,
claude,few_shot,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.124,331103.0,1.0,542.0,293.0,
claude,few_shot,simulated_annealing,2,pr439,439,ok,True,118408.0,107217,10.44,0.42,118408.0,1.0,529.0,1267.0,
claude,few_shot,simulated_annealing,2,pr1002,1002,ok,True,283645.0,259045,9.5,1.958,283645.0,1.0,529.0,1267.0,
claude,few_shot,genetic_algorithm,3,pr439,439,ok,True,349881.0,107217,226.33,13.286,349881.0,1.0,528.0,1054.0,
claude,few_shot,genetic_algorithm,3,pr1002,1002,ok,True,1915618.0,259045,639.49,30.882,1915618.0,1.0,528.0,1054.0,
claude,few_shot,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.132,131281.0,1.0,542.0,282.0,
claude,few_shot,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.105,331103.0,1.0,542.0,282.0,
claude,few_shot,simulated_annealing,3,pr439,439,ok,True,115300.0,107217,7.54,3.703,115300.0,1.0,529.0,1838.0,
claude,few_shot,simulated_annealing,3,pr1002,1002,ok,True,284076.0,259045,9.66,13.501,284076.0,1.0,529.0,1838.0,
claude,iterative_refinement,genetic_algorithm,1,pr439,439,ok,True,126114.0,107217,17.63,12.093,126114.0,1.0,327.0,1285.0,
claude,iterative_refinement,genetic_algorithm,1,pr1002,1002,ok,True,316010.0,259045,21.99,25.512,316010.0,1.0,327.0,1285.0,
claude,iterative_refinement,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.113,131281.0,1.0,341.0,248.0,
claude,iterative_refinement,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.129,331103.0,1.0,341.0,248.0,
claude,iterative_refinement,simulated_annealing,1,pr439,439,ok,True,131281.0,107217,22.44,0.146,131281.0,1.0,328.0,916.0,
claude,iterative_refinement,simulated_annealing,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.197,331103.0,1.0,328.0,916.0,
claude,iterative_refinement,genetic_algorithm,2,pr439,439,ok,True,130821.0,107217,22.02,4.528,130821.0,1.0,327.0,1283.0,
claude,iterative_refinement,genetic_algorithm,2,pr1002,1002,ok,True,318595.0,259045,22.99,10.443,318595.0,1.0,327.0,1283.0,
claude,iterative_refinement,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.115,131281.0,1.0,341.0,252.0,
claude,iterative_refinement,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.093,331103.0,1.0,341.0,252.0,
claude,iterative_refinement,simulated_annealing,2,pr439,439,ok,True,131281.0,107217,22.44,0.126,131281.0,1.0,328.0,1028.0,
claude,iterative_refinement,simulated_annealing,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.187,331103.0,1.0,328.0,1028.0,
claude,iterative_refinement,genetic_algorithm,3,pr439,439,ok,True,130821.0,107217,22.02,1.471,130821.0,1.0,327.0,1343.0,
claude,iterative_refinement,genetic_algorithm,3,pr1002,1002,ok,True,318586.0,259045,22.98,6.684,318586.0,1.0,327.0,1343.0,
claude,iterative_refinement,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.11,131281.0,1.0,341.0,248.0,
claude,iterative_refinement,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.127,331103.0,1.0,341.0,248.0,
claude,iterative_refinement,simulated_annealing,3,pr439,439,ok,True,118678.0,107217,10.69,0.908,118678.0,1.0,328.0,1573.0,
claude,iterative_refinement,simulated_annealing,3,pr1002,1002,ok,True,279735.0,259045,7.99,2.035,279735.0,1.0,328.0,1573.0,
claude,zero_shot,genetic_algorithm,1,pr439,439,ok,True,128786.0,107217,20.12,13.055,128786.0,1.0,327.0,1199.0,
claude,zero_shot,genetic_algorithm,1,pr1002,1002,ok,True,318040.0,259045,22.77,28.495,318040.0,1.0,327.0,1199.0,
claude,zero_shot,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.114,131281.0,1.0,341.0,248.0,
claude,zero_shot,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.121,331103.0,1.0,341.0,248.0,
claude,zero_shot,simulated_annealing,1,pr439,439,ok,True,131281.0,107217,22.44,0.55,131281.0,1.0,328.0,891.0,
claude,zero_shot,simulated_annealing,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.596,331103.0,1.0,328.0,891.0,
claude,zero_shot,genetic_algorithm,2,pr439,439,ok,True,127883.0,107217,19.27,25.86,127883.0,1.0,327.0,1261.0,
claude,zero_shot,genetic_algorithm,2,pr1002,1002,ok,True,317039.0,259045,22.39,56.779,317039.0,1.0,327.0,1261.0,
claude,zero_shot,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.163,131281.0,1.0,341.0,248.0,
claude,zero_shot,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.118,331103.0,1.0,341.0,248.0,
claude,zero_shot,simulated_annealing,2,pr439,439,ok,True,123095.0,107217,14.81,2.339,123095.0,1.0,328.0,1685.0,
claude,zero_shot,simulated_annealing,2,pr1002,1002,ok,True,297522.0,259045,14.85,5.328,297522.0,1.0,328.0,1685.0,
claude,zero_shot,genetic_algorithm,3,pr439,439,ok,True,130837.0,107217,22.03,3.208,130837.0,1.0,327.0,1184.0,
claude,zero_shot,genetic_algorithm,3,pr1002,1002,ok,True,331079.0,259045,27.81,8.844,331079.0,1.0,327.0,1184.0,
claude,zero_shot,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.233,131281.0,1.0,341.0,248.0,
claude,zero_shot,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.138,331103.0,1.0,341.0,248.0,
claude,zero_shot,simulated_annealing,3,pr439,439,ok,True,131281.0,107217,22.44,0.166,131281.0,1.0,328.0,907.0,
claude,zero_shot,simulated_annealing,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.215,331103.0,1.0,328.0,907.0,
gpt,chain_of_thought,genetic_algorithm,1,pr439,439,ok,True,126894.0,107217,18.35,32.581,126894.0,1.0,278.0,3731.0,
gpt,chain_of_thought,genetic_algorithm,1,pr1002,1002,ok,True,312621.0,259045,20.68,65.547,312621.0,1.0,278.0,3731.0,
gpt,chain_of_thought,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.134,131281.0,1.0,290.0,949.0,
gpt,chain_of_thought,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.089,331103.0,1.0,290.0,949.0,
gpt,chain_of_thought,simulated_annealing,1,pr439,439,ok,True,122405.0,107217,14.17,3.628,122405.0,1.0,280.0,5083.0,
gpt,chain_of_thought,simulated_annealing,1,pr1002,1002,ok,True,331103.0,259045,27.82,3.559,331103.0,1.0,280.0,5083.0,
gpt,chain_of_thought,genetic_algorithm,2,pr439,439,ok,True,126359.0,107217,17.85,262.101,126359.0,1.0,278.0,2732.0,
gpt,chain_of_thought,genetic_algorithm,2,pr1002,1002,timeout,False,,259045,,300.0,,1.0,278.0,2732.0,
gpt,chain_of_thought,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.141,131281.0,1.0,290.0,1053.0,
gpt,chain_of_thought,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.107,331103.0,1.0,290.0,1053.0,
gpt,chain_of_thought,simulated_annealing,2,pr439,439,ok,True,122582.0,107217,14.33,2.45,122582.0,1.0,280.0,4374.0,
gpt,chain_of_thought,simulated_annealing,2,pr1002,1002,ok,True,330943.0,259045,27.76,5.95,330943.0,1.0,280.0,4374.0,
gpt,chain_of_thought,genetic_algorithm,3,pr439,439,ok,True,130324.0,107217,21.55,3.963,130324.0,1.0,278.0,5366.0,
gpt,chain_of_thought,genetic_algorithm,3,pr1002,1002,ok,True,316355.0,259045,22.12,9.766,316355.0,1.0,278.0,5366.0,
gpt,chain_of_thought,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.094,131281.0,1.0,290.0,839.0,
gpt,chain_of_thought,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.096,331103.0,1.0,290.0,839.0,
gpt,chain_of_thought,simulated_annealing,3,pr439,439,ok,True,130966.0,107217,22.15,1.233,130966.0,1.0,280.0,5985.0,
gpt,chain_of_thought,simulated_annealing,3,pr1002,1002,ok,True,330848.0,259045,27.72,1.379,330848.0,1.0,280.0,5985.0,
gpt,few_shot,genetic_algorithm,1,pr439,439,ok,True,128003.0,107217,19.39,3.087,128003.0,1.0,353.0,5172.0,
gpt,few_shot,genetic_algorithm,1,pr1002,1002,ok,True,313930.0,259045,21.19,6.529,313930.0,1.0,353.0,5172.0,
gpt,few_shot,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.097,131281.0,1.0,365.0,304.0,
gpt,few_shot,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.144,331103.0,1.0,365.0,304.0,
gpt,few_shot,simulated_annealing,1,pr439,439,ok,True,131281.0,107217,22.44,3.627,131281.0,1.0,355.0,3857.0,
gpt,few_shot,simulated_annealing,1,pr1002,1002,ok,True,331103.0,259045,27.82,3.869,331103.0,1.0,355.0,3857.0,
gpt,few_shot,genetic_algorithm,2,pr439,439,ok,True,366799.0,107217,242.11,31.301,366799.0,1.0,353.0,2423.0,
gpt,few_shot,genetic_algorithm,2,pr1002,1002,ok,True,2094520.0,259045,708.55,60.775,2094520.0,1.0,353.0,2423.0,
gpt,few_shot,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.122,131281.0,1.0,365.0,297.0,
gpt,few_shot,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.087,331103.0,1.0,365.0,297.0,
gpt,few_shot,simulated_annealing,2,pr439,439,ok,True,112942.0,107217,5.34,53.169,112942.0,1.0,355.0,1804.0,
gpt,few_shot,simulated_annealing,2,pr1002,1002,ok,True,276767.0,259045,6.84,144.471,276767.0,1.0,355.0,1804.0,
gpt,few_shot,genetic_algorithm,3,pr439,439,ok,True,125730.0,107217,17.27,1.772,125730.0,1.0,353.0,3771.0,
gpt,few_shot,genetic_algorithm,3,pr1002,1002,ok,True,314079.0,259045,21.24,2.332,314079.0,1.0,353.0,3771.0,
gpt,few_shot,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.091,131281.0,1.0,365.0,287.0,
gpt,few_shot,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.097,331103.0,1.0,365.0,287.0,
gpt,few_shot,simulated_annealing,3,pr439,439,ok,True,131281.0,107217,22.44,2.088,131281.0,1.0,355.0,3810.0,
gpt,few_shot,simulated_annealing,3,pr1002,1002,ok,True,315781.0,259045,21.9,1.934,315781.0,1.0,355.0,3810.0,
gpt,iterative_refinement,genetic_algorithm,1,pr439,439,ok,True,127003.0,107217,18.45,21.878,127003.0,1.0,212.0,2618.0,
gpt,iterative_refinement,genetic_algorithm,1,pr1002,1002,ok,True,312347.0,259045,20.58,18.137,312347.0,1.0,212.0,2618.0,
gpt,iterative_refinement,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.152,131281.0,1.0,224.0,277.0,
gpt,iterative_refinement,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.143,331103.0,1.0,224.0,277.0,
gpt,iterative_refinement,simulated_annealing,1,pr439,439,ok,True,124890.0,107217,16.48,1.211,124890.0,1.0,214.0,6633.0,
gpt,iterative_refinement,simulated_annealing,1,pr1002,1002,ok,True,323308.0,259045,24.81,1.301,323308.0,1.0,214.0,6633.0,
gpt,iterative_refinement,genetic_algorithm,2,pr439,439,ok,True,113555.0,107217,5.91,2.408,113555.0,1.0,212.0,6064.0,
gpt,iterative_refinement,genetic_algorithm,2,pr1002,1002,ok,True,284441.0,259045,9.8,4.018,284441.0,1.0,212.0,6064.0,
gpt,iterative_refinement,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.098,131281.0,1.0,224.0,287.0,
gpt,iterative_refinement,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.092,331103.0,1.0,224.0,287.0,
gpt,iterative_refinement,simulated_annealing,2,pr439,439,ok,True,117396.0,107217,9.49,1.385,117396.0,1.0,214.0,5583.0,
gpt,iterative_refinement,simulated_annealing,2,pr1002,1002,ok,True,327500.0,259045,26.43,1.168,327500.0,1.0,214.0,5583.0,
gpt,iterative_refinement,genetic_algorithm,3,pr439,439,ok,True,114785.0,107217,7.06,2.416,114785.0,1.0,212.0,6249.0,
gpt,iterative_refinement,genetic_algorithm,3,pr1002,1002,ok,True,342138.0,259045,32.08,6.109,342138.0,1.0,212.0,6249.0,
gpt,iterative_refinement,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.098,131281.0,1.0,224.0,286.0,
gpt,iterative_refinement,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.101,331103.0,1.0,224.0,286.0,
gpt,iterative_refinement,simulated_annealing,3,pr439,439,ok,True,116940.0,107217,9.07,0.979,116940.0,1.0,214.0,3731.0,
gpt,iterative_refinement,simulated_annealing,3,pr1002,1002,ok,True,323848.0,259045,25.02,2.048,323848.0,1.0,214.0,3731.0,
gpt,zero_shot,genetic_algorithm,1,pr439,439,ok,True,130646.0,107217,21.85,5.623,130646.0,1.0,212.0,4722.0,
gpt,zero_shot,genetic_algorithm,1,pr1002,1002,ok,True,315234.0,259045,21.69,2.562,315234.0,1.0,212.0,4722.0,
gpt,zero_shot,greedy,1,pr439,439,ok,True,131281.0,107217,22.44,0.086,131281.0,1.0,224.0,294.0,
gpt,zero_shot,greedy,1,pr1002,1002,ok,True,331103.0,259045,27.82,0.093,331103.0,1.0,224.0,294.0,
gpt,zero_shot,simulated_annealing,1,pr439,439,ok,True,122622.0,107217,14.37,2.706,122622.0,1.0,214.0,6113.0,
gpt,zero_shot,simulated_annealing,1,pr1002,1002,ok,True,329339.0,259045,27.14,2.328,329339.0,1.0,214.0,6113.0,
gpt,zero_shot,genetic_algorithm,2,pr439,439,ok,True,117275.0,107217,9.38,5.105,117275.0,1.0,212.0,6138.0,
gpt,zero_shot,genetic_algorithm,2,pr1002,1002,ok,True,317277.0,259045,22.48,8.206,317277.0,1.0,212.0,6138.0,
gpt,zero_shot,greedy,2,pr439,439,ok,True,131281.0,107217,22.44,0.109,131281.0,1.0,224.0,284.0,
gpt,zero_shot,greedy,2,pr1002,1002,ok,True,331103.0,259045,27.82,0.114,331103.0,1.0,224.0,284.0,
gpt,zero_shot,simulated_annealing,2,pr439,439,ok,True,115407.0,107217,7.64,1.349,115407.0,1.0,214.0,4214.0,
gpt,zero_shot,simulated_annealing,2,pr1002,1002,ok,True,286249.0,259045,10.5,2.731,286249.0,1.0,214.0,4214.0,
gpt,zero_shot,genetic_algorithm,3,pr439,439,ok,True,117924.0,107217,9.99,5.967,117924.0,1.0,212.0,5246.0,
gpt,zero_shot,genetic_algorithm,3,pr1002,1002,ok,True,310398.0,259045,19.82,10.83,310398.0,1.0,212.0,5246.0,
gpt,zero_shot,greedy,3,pr439,439,ok,True,131281.0,107217,22.44,0.14,131281.0,1.0,224.0,302.0,
gpt,zero_shot,greedy,3,pr1002,1002,ok,True,331103.0,259045,27.82,0.246,331103.0,1.0,224.0,302.0,
gpt,zero_shot,simulated_annealing,3,pr439,439,ok,True,118364.0,107217,10.4,5.008,118364.0,1.0,214.0,2560.0,
gpt,zero_shot,simulated_annealing,3,pr1002,1002,ok,True,317134.0,259045,22.42,8.241,317134.0,1.0,214.0,2560.0,
